id_produto;nome;numero_produto;preco;id_subcategoria;cor;tamanho;peso;descricao;quantidade;modelo
1;Adjustable Race;AR-5381;0;38;;;;;750;
2;Bearing Ball;BA-8327;0;38;;;;;750;
3;BB Ball Bearing;BE-2349;0;38;;;;;600;
4;Headset Ball Bearings;BE-2908;0;38;;;;This bike delivers a high-level of performance on a budget. It is responsive and maneuverable. and offers peace-of-mind when you decide to go off-road.;600;
316;Blade;BL-2036;0;38;;;;For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.;600;
317;LL Crankarm;CA-5965;0;38;Black;;;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;375;
318;ML Crankarm;CA-6738;0;38;Black;;;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame. super-smooth front suspension. and traction for all terrain.;375;
319;HL Crankarm;CA-7457;0;38;Black;;;Suitable for any type of off-road trip. Fits any budget.;375;
320;Chainring Bolts;CB-2903;0;38;Silver;;;Entry level adult bike. offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.;750;
321;Chainring Nut;CN-6137;0;38;Silver;;;Value-priced bike with many features of our top-of-the-line models. Has the same light. stiff frame. and the quick acceleration we're famous for.;750;
322;Chainring;CR-7833;0;38;Black;;;Same technology as all of our Road series bikes. but the frame is sized for a woman.  Perfect all-around bike for road or racing.;750;
323;Crown Race;CR-9981;0;38;;;;Same technology as all of our Road series bikes.  Perfect all-around bike for road or racing.;750;
324;Chain Stays;CS-2812;0;38;;;;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros. and the gearing will conquer hilly roads.;750;
325;Decal 1;DC-8732;0;38;;;;Cross-train. race. or just socialize on a sleek. aerodynamic bike.  Advanced seat technology provides comfort all day.;750;
326;Decal 2;DC-9824;0;38;;;;Cross-train. race. or just socialize on a sleek. aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.;750;
327;Down Tube;DT-2377;0;38;;;;Alluminum-alloy frame provides a light. stiff ride. whether you are racing in the velodrome or on a demanding club ride on country roads.;600;
328;Mountain End Caps;EC-M092;0;38;;;;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team. it has a extremely light heat-treated aluminum frame. and steering that allows precision control.;750;
329;Road End Caps;EC-R098;0;38;;;;All-occasion value bike with our basic comfort and safety features. Offers wider. more stable tires for a ride around town or weekend trip.;750;
330;Touring End Caps;EC-T209;0;38;;;;The plush custom saddle keeps you riding all day.  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.;750;
331;Fork End;FE-3760;0;38;;;;Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.;600;
332;Freewheel;FH-2981;0;38;Silver;;;Superior shifting performance.;375;
341;Flat Washer 1;FW-1000;0;38;;;;Super rigid spindle.;750;
342;Flat Washer 6;FW-1200;0;38;;;;High-strength crank arm.;750;
343;Flat Washer 2;FW-1400;0;38;;;;Triple crankset. alumunim crank arm. flawless shifting.;750;
344;Flat Washer 9;FW-3400;0;38;;;;All-weather brake pads. provides superior stopping by applying more surface to the rim.;750;
345;Flat Washer 4;FW-3800;0;38;;;;Wide-link design.;750;
346;Flat Washer 3;FW-5160;0;38;;;;Stout design absorbs shock and offers more precise steering.;750;
347;Flat Washer 8;FW-5800;0;38;;;;Composite road fork with an aluminum steerer tube.;750;
348;Flat Washer 5;FW-7160;0;38;;;;High-performance carbon road fork with curved legs.;750;
349;Flat Washer 7;FW-9160;0;38;;;;Our best value utilizing the same. ground-breaking frame technology as the ML aluminum frame.;750;
350;Fork Crown;FC-3654;0;38;;;;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.;600;
351;Front Derailleur Cage;FC-3982;0;38;Silver;;;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.;600;
352;Front Derailleur Linkage;FL-2301;0;38;Silver;;;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;600;
355;Guide Pulley;GP-0982;0;38;;;;Made from the same aluminum alloy as our top-of-the line HL frame. the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.;600;
356;LL Grip Tape;GT-0820;0;38;;;;Replacement mountain wheel for entry-level rider.;600;
357;ML Grip Tape;GT-1209;0;38;;;;Replacement mountain wheel for the casual to serious rider.;600;
358;HL Grip Tape;GT-2908;0;38;;;;High-performance mountain replacement wheel.;600;
359;Thin-Jam Hex Nut 9;HJ-1213;0;38;;;;Replacement road front wheel for entry-level cyclist.;750;
360;Thin-Jam Hex Nut 10;HJ-1220;0;38;;;;Sturdy alloy features a quick-release hub.;750;
361;Thin-Jam Hex Nut 1;HJ-1420;0;38;;;;Strong wheel with double-walled rim.;750;
362;Thin-Jam Hex Nut 2;HJ-1428;0;38;;;;Aerodynamic rims for smooth riding.;750;
363;Thin-Jam Hex Nut 15;HJ-3410;0;38;;;;All-purpose bar for on or off-road.;750;
364;Thin-Jam Hex Nut 16;HJ-3416;0;38;;;;Tough aluminum alloy bars for downhill.;750;
365;Thin-Jam Hex Nut 5;HJ-3816;0;38;;;;Flat bar strong enough for the pro circuit.;750;
366;Thin-Jam Hex Nut 6;HJ-3824;0;38;;;;Unique shape provides easier reach to the levers.;750;
367;Thin-Jam Hex Nut 3;HJ-5161;0;38;;;;Anatomically shaped aluminum tube bar will suit all riders.;750;
368;Thin-Jam Hex Nut 4;HJ-5162;0;38;;;;Designed for racers. high-end anatomically shaped bar from aluminum alloy.;750;
369;Thin-Jam Hex Nut 13;HJ-5811;0;38;;;;Unique shape reduces fatigue for entry level riders.;750;
370;Thin-Jam Hex Nut 14;HJ-5818;0;38;;;;A light yet stiff aluminum bar for long distance riding.;750;
371;Thin-Jam Hex Nut 7;HJ-7161;0;38;;;;Threadless headset provides quality at an economical price.;750;
372;Thin-Jam Hex Nut 8;HJ-7162;0;38;;;;Sealed cartridge keeps dirt out.;750;
373;Thin-Jam Hex Nut 12;HJ-9080;0;38;;;;High-quality 1 threadless headset with a grease port for quick lubrication.;750;
